date,imbalances
2020-01-01 00:00:00,79.57
2020-01-01 00:15:00,-72.24
2020-01-01 00:30:00,15.52
2020-01-01 00:45:00,14.11
2020-01-01 01:00:00,130.39
2020-01-01 01:15:00,46.24
2020-01-01 01:30:00,49.93
2020-01-01 01:45:00,35.31
2020-01-01 02:00:00,127.05
2020-01-01 02:15:00,36.75
2020-01-01 02:30:00,34.34
2020-01-01 02:45:00,28.98
2020-01-01 03:00:00,-67.45
2020-01-01 03:15:00,-6.24
2020-01-01 03:30:00,12.68
2020-01-01 03:45:00,15.47
2020-01-01 04:00:00,51.86
2020-01-01 04:15:00,-0.77
2020-01-01 04:30:00,17.34
2020-01-01 04:45:00,113.81
2020-01-01 05:00:00,145.69
2020-01-01 05:15:00,96.1
2020-01-01 05:30:00,119.67
2020-01-01 05:45:00,90.57
2020-01-01 06:00:00,92.5
2020-01-01 06:15:00,68.06
2020-01-01 06:30:00,-67.45
2020-01-01 06:45:00,15.93
2020-01-01 07:00:00,7.28
2020-01-01 07:15:00,-2.68
2020-01-01 07:30:00,7.78
2020-01-01 07:45:00,2.91
2020-01-01 08:00:00,5.34
2020-01-01 08:15:00,0.34
2020-01-01 08:30:00,-2.84
2020-01-01 08:45:00,-1.25
2020-01-01 09:00:00,-19.27
2020-01-01 09:15:00,-55.61
2020-01-01 09:30:00,-128.84
2020-01-01 09:45:00,-19.78
2020-01-01 10:00:00,-225.46
2020-01-01 10:15:00,-39.2
2020-01-01 10:30:00,-39.1
2020-01-01 10:45:00,-99.8
2020-01-01 11:00:00,-322.66
2020-01-01 11:15:00,-50.77
2020-01-01 11:30:00,-34.88
2020-01-01 11:45:00,-237.53
2020-01-01 12:00:00,-162.41
2020-01-01 12:15:00,8.9
2020-01-01 12:30:00,7.4
2020-01-01 12:45:00,46.41
2020-01-01 13:00:00,153.52
2020-01-01 13:15:00,48.36
2020-01-01 13:30:00,112.36
2020-01-01 13:45:00,67.26
2020-01-01 14:00:00,42.85
2020-01-01 14:15:00,53.43
2020-01-01 14:30:00,60.37
2020-01-01 14:45:00,53.09
2020-01-01 15:00:00,11.47
2020-01-01 15:15:00,16.99
2020-01-01 15:30:00,30.48
2020-01-01 15:45:00,40.29
2020-01-01 16:00:00,1.4
2020-01-01 16:15:00,9.07
2020-01-01 16:30:00,18.05
2020-01-01 16:45:00,40.65
2020-01-01 17:00:00,24.07
2020-01-01 17:15:00,19.6
2020-01-01 17:30:00,8.9
2020-01-01 17:45:00,17.64
2020-01-01 18:00:00,22.6
2020-01-01 18:15:00,10.85
2020-01-01 18:30:00,-0.38
2020-01-01 18:45:00,0.94
2020-01-01 19:00:00,2.95
2020-01-01 19:15:00,-1.01
2020-01-01 19:30:00,-2.4
2020-01-01 19:45:00,-12.96
2020-01-01 20:00:00,11.5
2020-01-01 20:15:00,17.92
2020-01-01 20:30:00,-63.79
2020-01-01 20:45:00,-8.33
2020-01-01 21:00:00,77.93
2020-01-01 21:15:00,59.62
2020-01-01 21:30:00,79.49
2020-01-01 21:45:00,86.99
2020-01-01 22:00:00,45.49
2020-01-01 22:15:00,49.77
2020-01-01 22:30:00,45.15
2020-01-01 22:45:00,45.87
2020-01-01 23:00:00,35.65
2020-01-01 23:15:00,4.7
2020-01-01 23:30:00,35.65
2020-01-01 23:45:00,35.65
2020-01-02 00:00:00,50.73
2020-01-02 00:15:00,54.66
2020-01-02 00:30:00,52.54
2020-01-02 00:45:00,34.03
2020-01-02 01:00:00,59.8
2020-01-02 01:15:00,-75.6
2020-01-02 01:30:00,-71.54
2020-01-02 01:45:00,33.67
2020-01-02 02:00:00,8.07
2020-01-02 02:15:00,1.24
2020-01-02 02:30:00,72.56
2020-01-02 02:45:00,43.21
2020-01-02 03:00:00,65.52
2020-01-02 03:15:00,37.5
2020-01-02 03:30:00,39.35
2020-01-02 03:45:00,93.62
2020-01-02 04:00:00,-80.37
2020-01-02 04:15:00,2.07
2020-01-02 04:30:00,5.48
2020-01-02 04:45:00,16.7
2020-01-02 05:00:00,-16.87
2020-01-02 05:15:00,-142.57
2020-01-02 05:30:00,-46.97
2020-01-02 05:45:00,-76.06
2020-01-02 06:00:00,-144.69
2020-01-02 06:15:00,-190.74
2020-01-02 06:30:00,-11.89
2020-01-02 06:45:00,-1.09
2020-01-02 07:00:00,9.6
2020-01-02 07:15:00,10.7
2020-01-02 07:30:00,23.59
2020-01-02 07:45:00,22.65
2020-01-02 08:00:00,151.21
2020-01-02 08:15:00,-41.22
2020-01-02 08:30:00,23.1
2020-01-02 08:45:00,18.86
2020-01-02 09:00:00,195.34
2020-01-02 09:15:00,23.52
2020-01-02 09:30:00,15.32
2020-01-02 09:45:00,11.05
2020-01-02 10:00:00,31.6
2020-01-02 10:15:00,24.61
2020-01-02 10:30:00,21.84
2020-01-02 10:45:00,132.98
2020-01-02 11:00:00,81.08
2020-01-02 11:15:00,67.03
2020-01-02 11:30:00,72.78
2020-01-02 11:45:00,70.2
2020-01-02 12:00:00,58.78
2020-01-02 12:15:00,59.82
2020-01-02 12:30:00,75.84
2020-01-02 12:45:00,61.27
2020-01-02 13:00:00,61.27
2020-01-02 13:15:00,88.66
2020-01-02 13:30:00,96.53
2020-01-02 13:45:00,54.27
2020-01-02 14:00:00,65.81
2020-01-02 14:15:00,52.68
2020-01-02 14:30:00,20.58
2020-01-02 14:45:00,12.93
2020-01-02 15:00:00,10.8
2020-01-02 15:15:00,16.25
2020-01-02 15:30:00,16.54
2020-01-02 15:45:00,46.66
2020-01-02 16:00:00,68.35
2020-01-02 16:15:00,14.05
2020-01-02 16:30:00,11.8
2020-01-02 16:45:00,18.93
2020-01-02 17:00:00,66.3
2020-01-02 17:15:00,11.37
2020-01-02 17:30:00,9.3
2020-01-02 17:45:00,27.8
2020-01-02 18:00:00,42.83
2020-01-02 18:15:00,23.71
2020-01-02 18:30:00,15.22
2020-01-02 18:45:00,7.28
2020-01-02 19:00:00,96.18
2020-01-02 19:15:00,57.07
2020-01-02 19:30:00,44.76
2020-01-02 19:45:00,-63.15
2020-01-02 20:00:00,-1.79
2020-01-02 20:15:00,-5.78
2020-01-02 20:30:00,3.69
2020-01-02 20:45:00,-66.66
2020-01-02 21:00:00,-19.19
2020-01-02 21:15:00,-67.46
2020-01-02 21:30:00,44.84
2020-01-02 21:45:00,39.84
2020-01-02 22:00:00,83.2
2020-01-02 22:15:00,50.15
2020-01-02 22:30:00,69.08
2020-01-02 22:45:00,-2.27
2020-01-02 23:00:00,52.83
2020-01-02 23:15:00,33.01
2020-01-02 23:30:00,65.21
2020-01-02 23:45:00,-4.19
2020-01-03 00:00:00,2.56
2020-01-03 00:15:00,15.07
2020-01-03 00:30:00,12.13
2020-01-03 00:45:00,6.11
2020-01-03 01:00:00,58.36
2020-01-03 01:15:00,41.45
2020-01-03 01:30:00,37.44
2020-01-03 01:45:00,-3.84
2020-01-03 02:00:00,6.1
2020-01-03 02:15:00,3.45
2020-01-03 02:30:00,-12.96
2020-01-03 02:45:00,-19.99
2020-01-03 03:00:00,-41.68
2020-01-03 03:15:00,-92.5
2020-01-03 03:30:00,-67.31
2020-01-03 03:45:00,-43.46
2020-01-03 04:00:00,-19.99
2020-01-03 04:15:00,-21.71
2020-01-03 04:30:00,-5.89
2020-01-03 04:45:00,-25.02
2020-01-03 05:00:00,-85.45
2020-01-03 05:15:00,-82.44
2020-01-03 05:30:00,-71.07
2020-01-03 05:45:00,-53.78
2020-01-03 06:00:00,-75.34
2020-01-03 06:15:00,-106.2
2020-01-03 06:30:00,-101.04
2020-01-03 06:45:00,-69.33
2020-01-03 07:00:00,-79.75
2020-01-03 07:15:00,-5.08
2020-01-03 07:30:00,7.92
2020-01-03 07:45:00,10.45
2020-01-03 08:00:00,19.7
2020-01-03 08:15:00,26.18
2020-01-03 08:30:00,79.94
2020-01-03 08:45:00,17.65
2020-01-03 09:00:00,17.7
2020-01-03 09:15:00,12.71
2020-01-03 09:30:00,4.48
2020-01-03 09:45:00,3.63
2020-01-03 10:00:00,10.6
2020-01-03 10:15:00,10.6
2020-01-03 10:30:00,27.51
2020-01-03 10:45:00,32.94
2020-01-03 11:00:00,29.06
2020-01-03 11:15:00,42.97
2020-01-03 11:30:00,69.36
2020-01-03 11:45:00,9.57
2020-01-03 12:00:00,14.12
2020-01-03 12:15:00,11.29
2020-01-03 12:30:00,16.62
2020-01-03 12:45:00,-12.95
2020-01-03 13:00:00,15.6
2020-01-03 13:15:00,16.85
2020-01-03 13:30:00,-100.59
2020-01-03 13:45:00,-211.25
2020-01-03 14:00:00,-82.77
2020-01-03 14:15:00,8.07
2020-01-03 14:30:00,12.3
2020-01-03 14:45:00,-3.1
2020-01-03 15:00:00,-73.39
2020-01-03 15:15:00,-42.48
2020-01-03 15:30:00,-9.19
2020-01-03 15:45:00,1.17
2020-01-03 16:00:00,-2.2
2020-01-03 16:15:00,-20.55
2020-01-03 16:30:00,-37.76
2020-01-03 16:45:00,-37.3
2020-01-03 17:00:00,-16.18
2020-01-03 17:15:00,-17.75
2020-01-03 17:30:00,-33.23
2020-01-03 17:45:00,-40.17
2020-01-03 18:00:00,-4.19
2020-01-03 18:15:00,8.24
2020-01-03 18:30:00,9.27
2020-01-03 18:45:00,12.95
2020-01-03 19:00:00,103.26
2020-01-03 19:15:00,-17.57
2020-01-03 19:30:00,-11.89
2020-01-03 19:45:00,-56.87
2020-01-03 20:00:00,-6.15
2020-01-03 20:15:00,5.96
2020-01-03 20:30:00,-39.7
2020-01-03 20:45:00,-20.06
2020-01-03 21:00:00,-28.73
2020-01-03 21:15:00,-24.15
2020-01-03 21:30:00,-2.28
2020-01-03 21:45:00,-13.06
2020-01-03 22:00:00,16.74
2020-01-03 22:15:00,62.46
2020-01-03 22:30:00,2.41
2020-01-03 22:45:00,51.23
2020-01-03 23:00:00,81.52
2020-01-03 23:15:00,76.7
2020-01-03 23:30:00,61.53
2020-01-03 23:45:00,43.69
2020-01-04 00:00:00,66.99
2020-01-04 00:15:00,64.72
2020-01-04 00:30:00,54.11
2020-01-04 00:45:00,49.71
2020-01-04 01:00:00,73.17
2020-01-04 01:15:00,48.98
2020-01-04 01:30:00,57.6
2020-01-04 01:45:00,49.53
2020-01-04 02:00:00,-11.67
