date,wind,solar,load,spread
2020-01-01 00:00:00,6084.0,0.0,43915.0,38.4
2020-01-01 00:15:00,5739.0,0.0,43770.0,-105.93
2020-01-01 00:30:00,5774.0,0.0,43267.0,-1.48
2020-01-01 00:45:00,5804.0,0.0,42934.0,3.97
2020-01-01 01:00:00,5791.0,0.0,42718.0,100.09
2020-01-01 01:15:00,5714.0,0.0,42578.0,19.88
2020-01-01 01:30:00,5753.0,0.0,42492.0,28.93
2020-01-01 01:45:00,5708.0,0.0,42434.0,16.97
2020-01-01 02:00:00,5517.0,0.0,42454.0,103.82
2020-01-01 02:15:00,5389.0,0.0,42516.0,15.1
2020-01-01 02:30:00,5435.0,0.0,42435.0,11.34
2020-01-01 02:45:00,5572.0,0.0,42388.0,4.45
2020-01-01 03:00:00,5489.0,0.0,42479.0,-79.91
2020-01-01 03:15:00,5458.0,0.0,42587.0,-28.35
2020-01-01 03:30:00,5530.0,0.0,42568.0,-12.26
2020-01-01 03:45:00,5566.0,0.0,42637.0,-9.45
2020-01-01 04:00:00,5571.0,0.0,42653.0,32.32
2020-01-01 04:15:00,5587.0,0.0,42372.0,-22.88
2020-01-01 04:30:00,5709.0,0.0,42076.0,-5.23
2020-01-01 04:45:00,5718.0,0.0,41735.0,88.83
2020-01-01 05:00:00,5775.0,0.0,40790.0,125.59
2020-01-01 05:15:00,5677.0,0.0,40615.0,76.1
2020-01-01 05:30:00,5592.0,0.0,40601.0,96.91
2020-01-01 05:45:00,5476.0,0.0,40695.0,61.43
2020-01-01 06:00:00,5422.0,0.0,40950.0,77.73
2020-01-01 06:15:00,5422.0,0.0,41349.0,45.31
2020-01-01 06:30:00,5287.0,0.0,42266.0,-97.86
2020-01-01 06:45:00,5147.0,0.0,43117.0,-19.74
2020-01-01 07:00:00,5076.0,7.0,43840.0,-8.22
2020-01-01 07:15:00,5111.0,103.0,44493.0,-27.6
2020-01-01 07:30:00,5106.0,417.0,44740.0,-19.17
2020-01-01 07:45:00,5054.0,960.0,45109.0,-30.94
2020-01-01 08:00:00,5126.0,1712.0,46413.0,-19.38
2020-01-01 08:15:00,5095.0,2609.0,47333.0,-28.1
2020-01-01 08:30:00,5044.0,3510.0,47784.0,-31.55
2020-01-01 08:45:00,5129.0,4491.0,47898.0,-25.9
2020-01-01 09:00:00,5024.0,5431.0,48639.0,-47.39
2020-01-01 09:15:00,4953.0,6317.0,49130.0,-80.61
2020-01-01 09:30:00,4826.0,7183.0,49422.0,-153.71
2020-01-01 09:45:00,4746.0,8069.0,49864.0,-48.18
2020-01-01 10:00:00,4761.0,8806.0,50423.0,-246.83
2020-01-01 10:15:00,4681.0,9466.0,50851.0,-64.81
2020-01-01 10:30:00,4676.0,10042.0,51380.0,-67.65
2020-01-01 10:45:00,4547.0,10469.0,51582.0,-131.02
2020-01-01 11:00:00,4174.0,10870.0,51473.0,-355.08
2020-01-01 11:15:00,4232.0,11021.0,51150.0,-80.86
2020-01-01 11:30:00,4188.0,11188.0,50890.0,-61.55
2020-01-01 11:45:00,4242.0,11048.0,50716.0,-256.55
2020-01-01 12:00:00,4252.0,10848.0,50302.0,-194.56
2020-01-01 12:15:00,4260.0,10440.0,49798.0,-16.94
2020-01-01 12:30:00,4339.0,9987.0,49523.0,-18.61
2020-01-01 12:45:00,4269.0,9317.0,49098.0,22.41
2020-01-01 13:00:00,4189.0,8542.0,48946.0,127.52
2020-01-01 13:15:00,4152.0,7600.0,48781.0,22.6
2020-01-01 13:30:00,4128.0,6541.0,48504.0,80.1
2020-01-01 13:45:00,4085.0,5375.0,48479.0,39.26
2020-01-01 14:00:00,4133.0,4224.0,48854.0,19.71
2020-01-01 14:15:00,4234.0,3001.0,48536.0,26.13
2020-01-01 14:30:00,4405.0,1913.0,48733.0,28.28
2020-01-01 14:45:00,4578.0,1000.0,48700.0,11.74
2020-01-01 15:00:00,4951.0,390.0,49127.0,-13.2
2020-01-01 15:15:00,5395.0,93.0,49297.0,-12.01
2020-01-01 15:30:00,5710.0,5.0,50084.0,-8.6
2020-01-01 15:45:00,6065.0,2.0,50884.0,-5.9
2020-01-01 16:00:00,6456.0,0.0,52159.0,-31.15
2020-01-01 16:15:00,6664.0,0.0,52809.0,-27.49
2020-01-01 16:30:00,6901.0,0.0,53306.0,-23.03
2020-01-01 16:45:00,7154.0,0.0,53767.0,-4.56
2020-01-01 17:00:00,7490.0,0.0,54286.0,-18.99
2020-01-01 17:15:00,7844.0,0.0,54622.0,-19.68
2020-01-01 17:30:00,8204.0,0.0,54395.0,-28.77
2020-01-01 17:45:00,8406.0,0.0,54295.0,-14.36
2020-01-01 18:00:00,8702.0,0.0,54429.0,-22.54
2020-01-01 18:15:00,8758.0,0.0,53969.0,-24.99
2020-01-01 18:30:00,8952.0,0.0,53733.0,-32.28
2020-01-01 18:45:00,9250.0,0.0,53439.0,-24.58
2020-01-01 19:00:00,9367.0,0.0,52971.0,-40.74
2020-01-01 19:15:00,9467.0,0.0,52392.0,-41.56
2020-01-01 19:30:00,9802.0,0.0,51998.0,-32.61
2020-01-01 19:45:00,9859.0,0.0,51564.0,-38.48
2020-01-01 20:00:00,10112.0,0.0,51306.0,-28.73
2020-01-01 20:15:00,10178.0,0.0,50967.0,-16.17
2020-01-01 20:30:00,10213.0,0.0,50678.0,-90.74
2020-01-01 20:45:00,10082.0,0.0,50635.0,-37.07
2020-01-01 21:00:00,9670.0,0.0,51098.0,34.98
2020-01-01 21:15:00,9216.0,0.0,50669.0,24.75
2020-01-01 21:30:00,8818.0,0.0,49987.0,52.59
2020-01-01 21:45:00,8655.0,0.0,49389.0,69.31
2020-01-01 22:00:00,8630.0,0.0,48568.0,0.77
2020-01-01 22:15:00,8736.0,0.0,48003.0,10.65
2020-01-01 22:30:00,8574.0,0.0,47252.0,20.98
2020-01-01 22:45:00,8451.0,0.0,46545.0,39.66
2020-01-01 23:00:00,8391.0,0.0,46904.0,-3.07
2020-01-01 23:15:00,8250.0,0.0,46028.0,-20.97
2020-01-01 23:30:00,8138.0,0.0,45637.0,15.45
2020-01-01 23:45:00,7947.0,0.0,45270.0,31.15
2020-01-02 00:00:00,7585.0,0.0,44748.0,19.89
2020-01-02 00:15:00,7376.0,0.0,44539.0,31.95
2020-01-02 00:30:00,7367.0,0.0,44257.0,38.34
2020-01-02 00:45:00,7367.0,0.0,43938.0,27.05
2020-01-02 01:00:00,7224.0,0.0,43877.0,34.73
2020-01-02 01:15:00,7066.0,0.0,44049.0,-95.5
2020-01-02 01:30:00,6932.0,0.0,44087.0,-87.94
2020-01-02 01:45:00,6698.0,0.0,44052.0,18.74
2020-01-02 02:00:00,6535.0,0.0,44179.0,-8.34
2020-01-02 02:15:00,6390.0,0.0,44169.0,-14.85
